ID,Equation,Answer,Type,Complexity,Method_Used,Output_Answer,IsCorrect,Latency_ms,CPU_Time_ms,RAM_Peak_MB,Request_Size_Bytes,Response_Size_Bytes,HTTP_Status_Code,SOAP_Fault_Flag,Retry_Count,SOAP_Calls_Count
chal-733,( 270.0 / 5.0 ),54,Common-Division,0.4938,SOAP_Calculator,54.0,1,96.06529981829226,0.0,0.0078125,304,252,200,0,0,1
chal-337,( 841.0 - 34.0 ),807,Subtraction,0.5091,SOAP_Calculator,807.0,1,94.17130006477237,0.0,0,305,253,200,0,0,1
chal-451,( 54.0 / 18.0 ),3,Common-Division,0.4938,SOAP_Calculator,3.0,1,74.6557000093162,0.0,0.0625,304,251,200,0,0,1
chal-791,( 58.0 - 46.0 ),12,Subtraction,0.4938,SOAP_Calculator,12.0,1,96.66969999670982,0.0,0.00390625,304,252,200,0,0,1
chal-351,( 13.0 - ( 3.0 - 13.0 ) ),23,Subtraction,0.9475,SOAP_Calculator,,0,94.37100007198751,15.625,0.01953125,303,253,200,0,0,1
chal-468,( 67.0 - 36.0 ),31,Subtraction,0.4938,SOAP_Calculator,31.0,1,92.60779991745949,15.625,0.00390625,304,252,200,0,0,1
chal-623,( 610769.0 + 590796.0 ),1201565,Addition,0.616,SOAP_Calculator,1201565.0,1,92.34570013359189,15.625,0.06640625,312,257,200,0,0,1
chal-477,( 178.0 / 2.0 ),89,Common-Division,0.4938,SOAP_Calculator,89.0,1,93.23580004274845,0.0,0.00390625,304,252,200,0,0,1
chal-615,( 557.0 + 17.0 ),574,Addition,0.5091,SOAP_Calculator,574.0,1,95.85190005600452,0.0,0,305,253,200,0,0,1
chal-555,8.0,8,Common-Division,0.0,SOAP_Calculator,8.0,1,0.02469983883202076,15.625,0,0,0,200,0,0,0
chal-366,( ( 44.0 + 44.0 ) + 58.0 ),146,Addition,0.958,SOAP_Calculator,146.0,1,189.92560007609427,0.0,0.0390625,608,505,200,0,0,2
chal-771,( ( 14.0 - 4.0 ) - 9.0 ),1,Subtraction,0.937,SOAP_Calculator,1.0,1,173.3719001058489,0.0,0,606,503,200,0,0,2
chal-631,( 34.0 - 20.0 ),14,Subtraction,0.4938,SOAP_Calculator,14.0,1,95.88919999077916,0.0,0.05078125,304,252,200,0,0,1
chal-941,( 18.0 / 9.0 ),2,Common-Division,0.4785,SOAP_Calculator,2.0,1,72.68669991753995,0.0,0.0390625,303,251,200,0,0,1
chal-798,( 14.0 / 2.0 ),7,Common-Division,0.4785,SOAP_Calculator,7.0,1,71.6665000654757,0.0,0.03515625,303,251,200,0,0,1
chal-497,( 28.0 - 16.0 ),12,Subtraction,0.4938,SOAP_Calculator,12.0,1,72.81609997153282,0.0,0.0078125,304,252,200,0,0,1
chal-925,( 13.0 + 8.0 ),21,Addition,0.4785,SOAP_Calculator,21.0,1,101.49689996615052,0.0,0.03125,303,252,200,0,0,1
chal-370,( ( 17.0 - 10.0 ) + 7.0 ),14,Addition,0.9475,SOAP_Calculator,14.0,1,186.62950000725687,0.0,0,606,503,200,0,0,2
chal-597,( 14.0 / 7.0 ),2,Common-Division,0.4785,SOAP_Calculator,2.0,1,75.45659993775189,0.0,0.00390625,303,251,200,0,0,1
chal-721,( 71.0 - 20.0 ),51,Subtraction,0.4938,SOAP_Calculator,51.0,1,94.83489999547601,0.0,0.0078125,304,252,200,0,0,1
chal-54,( 22.0 / 11.0 ),2,Common-Division,0.4938,SOAP_Calculator,2.0,1,74.46800009347498,0.0,0.0078125,304,251,200,0,0,1
chal-427,( 30.0 / 2.0 ),15,Common-Division,0.4785,SOAP_Calculator,15.0,1,95.35859990864992,0.0,0.00390625,303,252,200,0,0,1
chal-57,( 6.0 + 14.0 ),20,Addition,0.4785,SOAP_Calculator,20.0,1,74.60390008054674,0.0,0,303,252,200,0,0,1
chal-265,( 7.0 - 4.0 ),3,Subtraction,0.4632,SOAP_Calculator,3.0,1,96.81989997625351,0.0,0.0546875,302,251,200,0,0,1
chal-773,( 10.0 - 3.0 ),7,Subtraction,0.4785,SOAP_Calculator,7.0,1,74.99320013448596,0.0,0.0390625,303,251,200,0,0,1
chal-186,( 106.0 - 64.0 ),42,Subtraction,0.5091,SOAP_Calculator,42.0,1,99.50360003858805,0.0,0.00390625,305,252,200,0,0,1
chal-467,( 382.0 + 374.0 ),756,Addition,0.5244,SOAP_Calculator,756.0,1,95.16309993341565,15.625,0.03515625,306,253,200,0,0,1
chal-790,( 42.0 - 31.0 ),11,Subtraction,0.4938,SOAP_Calculator,11.0,1,95.23999993689358,31.25,0.03125,304,252,200,0,0,1
chal-175,( 8.0 - 3.0 ),5,Subtraction,0.4632,SOAP_Calculator,5.0,1,100.28599994257092,0.0,0.01171875,302,251,200,0,0,1
chal-151,( ( 14.0 - 8.0 ) * 2.0 ),12,Multiplication,0.937,SOAP_Calculator,12.0,1,213.9210000168532,15.625,0.03515625,605,503,200,0,0,2
chal-742,( ( 6.0 + 7.0 ) * 5.0 ),65,Multiplication,0.9265,SOAP_Calculator,65.0,1,185.27969997376204,0.0,0.0078125,605,504,200,0,0,2
chal-114,( 5.0 - 4.0 ),1,Subtraction,0.4632,SOAP_Calculator,1.0,1,74.18440002948046,15.625,0,302,251,200,0,0,1
chal-429,( 555.0 / 5.0 ),111,Common-Division,0.4938,SOAP_Calculator,111.0,1,98.00090012140572,0.0,0.046875,304,253,200,0,0,1
chal-966,( 40.0 - 39.0 ),1,Subtraction,0.4938,SOAP_Calculator,1.0,1,72.74760003201663,0.0,0.046875,304,251,200,0,0,1
chal-19,( 57.0 - 30.0 ),27,Subtraction,0.4938,SOAP_Calculator,27.0,1,104.1782998945564,0.0,0.0078125,304,252,200,0,0,1
chal-190,( 6.0 - 2.0 ),4,Subtraction,0.4632,SOAP_Calculator,4.0,1,93.8646998256445,0.0,0.00390625,302,251,200,0,0,1
chal-415,( 28.0 - 11.0 ),17,Subtraction,0.4938,SOAP_Calculator,17.0,1,95.62589996494353,0.0,0.06640625,304,252,200,0,0,1
chal-590,( 6.0 + 7.0 ),13,Addition,0.4632,SOAP_Calculator,13.0,1,51.23990005813539,0.0,0.00390625,302,252,200,0,0,1
chal-667,( 4.0 + 6.0 ),10,Addition,0.4632,SOAP_Calculator,10.0,1,92.68170013092458,0.0,0.0078125,302,252,200,0,0,1
chal-764,( 308.0 - 231.0 ),77,Subtraction,0.5244,SOAP_Calculator,77.0,1,91.80629998445511,0.0,0,306,252,200,0,0,1
chal-222,( 78.0 * ( 186.0 - 172.0 ) ),1092,Multiplication,0.979,SOAP_Calculator,1092.0,1,165.32769985496998,0.0,0.0078125,610,506,200,0,0,2
chal-587,( ( 16.0 - 21.0 ) + 10.0 ),5,Addition,0.958,SOAP_Calculator,15.0,0,193.0453998502344,0.0,0,607,504,200,0,0,2
chal-582,( 5.0 + 2.0 ),7,Addition,0.4632,SOAP_Calculator,7.0,1,99.63389998301864,0.0,0.0078125,302,251,200,0,0,1
chal-300,( ( 25.0 + 18.0 ) + 2.0 ),45,Addition,0.9475,SOAP_Calculator,45.0,1,188.0813001189381,15.625,0.04296875,607,504,200,0,0,2
chal-639,( 2.0 + 8.0 ),10,Addition,0.4632,SOAP_Calculator,10.0,1,73.36240005679429,15.625,0.03515625,302,252,200,0,0,1
chal-387,( 26.0 * 2.0 ),52,Multiplication,0.4785,SOAP_Calculator,52.0,1,97.4335998762399,0.0,0.00390625,303,252,200,0,0,1
chal-365,( 5.0 - 3.0 ),2,Subtraction,0.4632,SOAP_Calculator,2.0,1,74.2975000757724,15.625,0,302,251,200,0,0,1
chal-880,( ( 26.0 - 10.0 ) - 10.0 ),6,Subtraction,0.958,SOAP_Calculator,6.0,1,165.48750014044344,0.0,0.03515625,608,503,200,0,0,2
chal-335,( 10.0 + 6.0 ),16,Addition,0.4785,SOAP_Calculator,16.0,1,94.78119993582368,0.0,0.015625,303,252,200,0,0,1
chal-17,( 697.0 - 228.0 ),469,Subtraction,0.5244,SOAP_Calculator,469.0,1,101.72350006178021,0.0,0.04296875,306,253,200,0,0,1
chal-203,( 22.0 * 569.0 ),12518,Multiplication,0.5091,SOAP_Calculator,12518.0,1,94.32569984346628,0.0,0.015625,305,255,200,0,0,1
chal-2,( 4.0 - 3.0 ),1,Subtraction,0.4632,SOAP_Calculator,1.0,1,72.79879995621741,0.0,0,302,251,200,0,0,1
chal-39,( 356.0 / 178.0 ),2,Common-Division,0.5244,SOAP_Calculator,2.0,1,73.78170010633767,15.625,0.05859375,306,251,200,0,0,1
chal-291,( 197.0 - 66.0 ),131,Subtraction,0.5091,SOAP_Calculator,131.0,1,106.393399881199,15.625,0.01171875,305,253,200,0,0,1
chal-494,( 106.0 - 14.0 ),92,Subtraction,0.5091,SOAP_Calculator,92.0,1,96.69490018859506,15.625,0.00390625,305,252,200,0,0,1
chal-248,( 32.0 * 20.0 ),640,Multiplication,0.4938,SOAP_Calculator,640.0,1,97.45420003309846,15.625,0.0078125,304,253,200,0,0,1
chal-507,( 108.0 - 66.0 ),42,Subtraction,0.5091,SOAP_Calculator,42.0,1,74.94610012508929,0.0,0.03515625,305,252,200,0,0,1
chal-897,( ( 28.0 + 14.0 ) / 6.0 ),7,Common-Division,0.9475,SOAP_Calculator,7.0,1,165.93939997255802,15.625,0.04296875,607,503,200,0,0,2
chal-714,( 97.0 - 72.0 ),25,Subtraction,0.4938,SOAP_Calculator,25.0,1,94.33249989524484,0.0,0,304,252,200,0,0,1
chal-892,( 8.0 - 7.0 ),1,Subtraction,0.4632,SOAP_Calculator,1.0,1,72.41150015033782,0.0,0.00390625,302,251,200,0,0,1
chal-77,( 4.0 - 2.0 ),2,Subtraction,0.4632,SOAP_Calculator,2.0,1,71.40009989961982,0.0,0.00390625,302,251,200,0,0,1
chal-912,( 158.0 - 147.0 ),11,Subtraction,0.5244,SOAP_Calculator,11.0,1,71.91059994511306,0.0,0.0078125,306,252,200,0,0,1
chal-793,( ( 2.0 + 3.0 ) + 10.0 ),15,Addition,0.937,SOAP_Calculator,15.0,1,125.08839997462928,0.0,0,605,503,200,0,0,2
chal-509,( 5.0 + 15.0 ),20,Addition,0.4785,SOAP_Calculator,20.0,1,74.88219998776913,0.0,0.01171875,303,252,200,0,0,1
chal-178,( 98.0 * 89.0 ),8722,Multiplication,0.4938,SOAP_Calculator,8722.0,1,94.42010009661317,0.0,0.01171875,304,254,200,0,0,1
chal-843,( 120.0 / 24.0 ),5,Common-Division,0.5091,SOAP_Calculator,5.0,1,94.70749995671213,0.0,0.03515625,305,251,200,0,0,1
chal-201,( 4.0 + 79.0 ),83,Addition,0.4785,SOAP_Calculator,83.0,1,92.05700014717877,0.0,0.03125,303,252,200,0,0,1
chal-766,( 203.0 / 7.0 ),29,Common-Division,0.4938,SOAP_Calculator,29.0,1,94.26210005767643,0.0,0,304,252,200,0,0,1
chal-910,( 36.0 + 17.0 ),53,Addition,0.4938,SOAP_Calculator,53.0,1,93.78169989213347,0.0,0,304,252,200,0,0,1
chal-294,( 6.0 - 3.0 ),3,Subtraction,0.4632,SOAP_Calculator,3.0,1,74.81499994173646,15.625,0.00390625,302,251,200,0,0,1
chal-539,( 21.0 + 12.0 ),33,Addition,0.4938,SOAP_Calculator,33.0,1,93.48009992390871,0.0,0,304,252,200,0,0,1
chal-25,( ( 3.0 + 4.0 ) - 6.0 ),1,Subtraction,0.9265,SOAP_Calculator,1.0,1,149.4599999859929,0.0,0.00390625,604,502,200,0,0,2
chal-695,( 7.0 + 9.0 ),16,Addition,0.4632,SOAP_Calculator,16.0,1,76.31819997914135,0.0,0,302,252,200,0,0,1
chal-211,( 78.0 - 31.0 ),47,Subtraction,0.4938,SOAP_Calculator,47.0,1,102.82319993712008,0.0,0,304,252,200,0,0,1
chal-425,( ( 51.0 - 8.0 ) * 130.0 ),5590,Multiplication,0.958,SOAP_Calculator,5590.0,1,193.35910002700984,0.0,0.10546875,608,506,200,0,0,2
chal-529,( 10.0 - ( 6.0 + 3.0 ) ),1,Subtraction,0.937,SOAP_Calculator,1.0,1,149.23510001972318,0.0,0.00390625,605,502,200,0,0,2
chal-35,( 10.0 - ( 6.0 + 3.0 ) ),1,Subtraction,0.937,SOAP_Calculator,1.0,1,103.5196001175791,15.625,0.01953125,605,502,200,0,0,2
chal-929,( ( 10.0 * 6.0 ) - 11.0 ),49,Subtraction,0.9475,SOAP_Calculator,49.0,1,189.17230004444718,0.0,0.0390625,607,504,200,0,0,2
chal-399,( ( 35.0 - 13.0 ) - 13.0 ),9,Subtraction,0.958,SOAP_Calculator,9.0,1,197.882300009951,15.625,0.00390625,608,503,200,0,0,2
chal-608,( 126.0 - 48.0 ),78,Subtraction,0.5091,SOAP_Calculator,78.0,1,95.87179985828698,0.0,0,305,252,200,0,0,1
chal-299,( ( 17.0 + 15.0 ) + 2.0 ),34,Addition,0.9475,SOAP_Calculator,34.0,1,190.86049986071885,15.625,0.0859375,607,504,200,0,0,2
chal-849,( ( 11.0 - 2.0 ) - 2.0 ),7,Subtraction,0.937,SOAP_Calculator,7.0,1,150.87400004267693,15.625,0.0703125,605,502,200,0,0,2
chal-669,( 92.0 - 68.0 ),24,Subtraction,0.4938,SOAP_Calculator,24.0,1,101.06289992108941,0.0,0,304,252,200,0,0,1
chal-283,( 13.0 + 21.0 ),34,Addition,0.4938,SOAP_Calculator,34.0,1,76.09510002657771,0.0,0.04296875,304,252,200,0,0,1
chal-940,( 12.0 - 2.0 ),10,Subtraction,0.4785,SOAP_Calculator,10.0,1,71.95429992862046,0.0,0.00390625,303,252,200,0,0,1
chal-945,( 28.0 / 2.0 ),14,Common-Division,0.4785,SOAP_Calculator,14.0,1,94.220100203529,0.0,0.00390625,303,252,200,0,0,1
chal-607,( 4.0 + 6.0 ),10,Addition,0.4632,SOAP_Calculator,10.0,1,56.67930003255606,15.625,0,302,252,200,0,0,1
chal-960,( 90.0 / 6.0 ),15,Common-Division,0.4785,SOAP_Calculator,15.0,1,77.71910005249083,0.0,0.00390625,303,252,200,0,0,1
chal-935,( 27.0 * 23.0 ),621,Multiplication,0.4938,SOAP_Calculator,621.0,1,93.76739989966154,0.0,0.0078125,304,253,200,0,0,1
chal-732,( 3.0 - 2.0 ),1,Subtraction,0.4632,SOAP_Calculator,1.0,1,75.73690009303391,0.0,0,302,251,200,0,0,1
chal-288,( 9.0 - 7.0 ),2,Subtraction,0.4632,SOAP_Calculator,2.0,1,75.10469993576407,0.0,0,302,251,200,0,0,1
chal-528,( 154.0 / 11.0 ),14,Common-Division,0.5091,SOAP_Calculator,14.0,1,76.70770003460348,0.0,0.02734375,305,252,200,0,0,1
chal-808,( 32.0 / 4.0 ),8,Common-Division,0.4785,SOAP_Calculator,8.0,1,95.37669993005693,0.0,0.00390625,303,251,200,0,0,1
chal-230,( 4.0 / 2.0 ),2,Common-Division,0.4632,SOAP_Calculator,2.0,1,52.54879989661276,0.0,0.03125,302,251,200,0,0,1
chal-437,( 8.0 + 6.0 ),14,Addition,0.4632,SOAP_Calculator,14.0,1,75.47689997591078,0.0,0.03125,302,252,200,0,0,1
chal-29,( 40.0 + 49.0 ),89,Addition,0.4938,SOAP_Calculator,89.0,1,92.448600102216,0.0,0,304,252,200,0,0,1
chal-375,( 33.0 - 13.0 ),20,Subtraction,0.4938,SOAP_Calculator,20.0,1,93.11859984882176,15.625,0,304,252,200,0,0,1
chal-820,( 133.0 / 19.0 ),7,Common-Division,0.5091,SOAP_Calculator,7.0,1,74.40070016309619,15.625,0.03125,305,251,200,0,0,1
chal-317,( 6.0 - 5.0 ),1,Subtraction,0.4632,SOAP_Calculator,1.0,1,75.28440002351999,15.625,0.0078125,302,251,200,0,0,1
chal-561,( ( 6.0 + 7.0 ) + 3.0 ),16,Addition,0.9265,SOAP_Calculator,16.0,1,130.23509993217885,0.0,0.01171875,605,504,200,0,0,2
chal-242,( 81.0 - 60.0 ),21,Subtraction,0.4938,SOAP_Calculator,21.0,1,98.07589999400079,0.0,0.00390625,304,252,200,0,0,1
chal-150,( 16.0 - 13.0 ),3,Subtraction,0.4938,SOAP_Calculator,3.0,1,73.33149993792176,0.0,0,304,251,200,0,0,1
chal-517,( ( 3.0 + 6.0 ) - 4.0 ),5,Subtraction,0.9265,SOAP_Calculator,5.0,1,147.36599987372756,15.625,0.09765625,604,502,200,0,0,2
chal-418,( 5.0 + 4.0 ),9,Addition,0.4632,SOAP_Calculator,9.0,1,76.74899999983609,15.625,0.00390625,302,251,200,0,0,1
chal-661,( 19.0 * 4.0 ),76,Multiplication,0.4785,SOAP_Calculator,76.0,1,96.013099886477,0.0,0.04296875,303,252,200,0,0,1
chal-199,( 2.0 * 14.0 ),28,Multiplication,0.4785,SOAP_Calculator,28.0,1,97.81840001232922,0.0,0,303,252,200,0,0,1
chal-586,( 14.0 + 16.0 ),30,Addition,0.4938,SOAP_Calculator,30.0,1,95.64330009743571,0.0,0.00390625,304,252,200,0,0,1
chal-326,( 38.0 / 2.0 ),19,Common-Division,0.4785,SOAP_Calculator,19.0,1,94.58560007624328,0.0,0,303,252,200,0,0,1
chal-824,( 36.0 / 18.0 ),2,Common-Division,0.4938,SOAP_Calculator,2.0,1,74.64070012792945,0.0,0,304,251,200,0,0,1
chal-703,( 39.0 - 17.0 ),22,Subtraction,0.4938,SOAP_Calculator,22.0,1,75.0305000692606,0.0,0.01171875,304,252,200,0,0,1
chal-950,( 23.0 - 16.0 ),7,Subtraction,0.4938,SOAP_Calculator,7.0,1,74.17329982854426,0.0,0.0078125,304,251,200,0,0,1
chal-516,( 28.0 * ( 24.0 / 16.0 ) ),42,Multiplication,0.958,SOAP_Calculator,56.0,0,166.62030015140772,0.0,0,607,503,200,0,0,2
chal-865,( 33.0 - 19.0 ),14,Subtraction,0.4938,SOAP_Calculator,14.0,1,71.73110009171069,15.625,0.08203125,304,252,200,0,0,1
chal-837,( 288.0 - 264.0 ),24,Subtraction,0.5244,SOAP_Calculator,24.0,1,75.36319992505014,0.0,0.0078125,306,252,200,0,0,1
chal-878,( 31.0 - 23.0 ),8,Subtraction,0.4938,SOAP_Calculator,8.0,1,100.15930002555251,0.0,0.0078125,304,251,200,0,0,1
chal-360,( 9.0 + 18.0 ),27,Addition,0.4785,SOAP_Calculator,27.0,1,96.27129998989403,0.0,0.03515625,303,252,200,0,0,1
chal-595,( ( 25.0 + 32.0 ) - 26.0 ),31,Subtraction,0.958,SOAP_Calculator,31.0,1,164.9195000063628,0.0,0.0078125,608,504,200,0,0,2
chal-789,( 5.0 - 3.0 ),2,Subtraction,0.4632,SOAP_Calculator,2.0,1,53.966900100931525,0.0,0.00390625,302,251,200,0,0,1
chal-189,( 42.0 / 2.0 ),21,Common-Division,0.4785,SOAP_Calculator,21.0,1,93.38880004361272,0.0,0.00390625,303,252,200,0,0,1
chal-67,( 8.0 / 2.0 ),4,Common-Division,0.4632,SOAP_Calculator,4.0,1,71.3400999084115,0.0,0.00390625,302,251,200,0,0,1
chal-356,( 8.0 * 10.0 ),80,Multiplication,0.4785,SOAP_Calculator,80.0,1,93.00830005668104,0.0,0,303,252,200,0,0,1
chal-800,( 6.0 - 3.0 ),3,Subtraction,0.4632,SOAP_Calculator,3.0,1,54.81459992006421,0.0,0.015625,302,251,200,0,0,1
chal-903,( 8.0 - 6.0 ),2,Subtraction,0.4632,SOAP_Calculator,2.0,1,71.86759985052049,0.0,0.00390625,302,251,200,0,0,1
chal-921,( 12.0 - 5.0 ),7,Subtraction,0.4785,SOAP_Calculator,7.0,1,71.83130015619099,15.625,0,303,251,200,0,0,1
chal-943,( 15.0 - 14.0 ),1,Subtraction,0.4938,SOAP_Calculator,1.0,1,70.56889985688031,0.0,0.05078125,304,251,200,0,0,1
chal-331,( ( 79.0 - 24.0 ) - 51.0 ),4,Subtraction,0.958,SOAP_Calculator,4.0,1,171.61009996198118,0.0,0.04296875,608,503,200,0,0,2
chal-728,( 12.0 - ( 21.0 - 13.0 ) ),4,Subtraction,0.958,SOAP_Calculator,4.0,1,148.19899993017316,0.0,0,607,502,200,0,0,2
chal-397,( 16.0 * 2.0 ),32,Multiplication,0.4785,SOAP_Calculator,32.0,1,93.81149988621473,0.0,0.03125,303,252,200,0,0,1
chal-464,( 63.0 - 3.0 ),60,Subtraction,0.4785,SOAP_Calculator,60.0,1,91.79520001634955,0.0,0,303,252,200,0,0,1
chal-394,( 36.0 / 4.0 ),9,Common-Division,0.4785,SOAP_Calculator,9.0,1,94.34110019356012,0.0,0.0390625,303,251,200,0,0,1
chal-312,( ( 100.0 + 148.0 ) - 159.0 ),89,Subtraction,0.9895,SOAP_Calculator,89.0,1,191.23670016415417,15.625,0,612,505,200,0,0,2
chal-681,( 87.0 + 18.0 ),105,Addition,0.4938,SOAP_Calculator,105.0,1,92.21179992891848,15.625,0,304,253,200,0,0,1
chal-745,( 21.0 - 4.0 ),17,Subtraction,0.4785,SOAP_Calculator,17.0,1,71.11329981125891,15.625,0,303,252,200,0,0,1
chal-922,( 44.0 - 39.0 ),5,Subtraction,0.4938,SOAP_Calculator,5.0,1,72.29329994879663,0.0,0.05078125,304,251,200,0,0,1
chal-462,( ( 12.0 - 2.0 ) - 7.0 ),3,Subtraction,0.937,SOAP_Calculator,3.0,1,123.6658999696374,0.0,0.1015625,606,503,200,0,0,2
chal-523,( ( 33.0 - 24.0 ) / 9.0 ),1,Common-Division,0.9475,SOAP_Calculator,1.0,1,163.89159997925162,0.0,0.015625,606,502,200,0,0,2
chal-632,( 79.0 - 53.0 ),26,Subtraction,0.4938,SOAP_Calculator,26.0,1,93.16239994950593,0.0,0,304,252,200,0,0,1
chal-491,( 20.0 - 4.0 ),16,Subtraction,0.4785,SOAP_Calculator,16.0,1,72.30619993060827,0.0,0,303,252,200,0,0,1
chal-196,( 4.0 * 7.0 ),28,Multiplication,0.4632,SOAP_Calculator,28.0,1,75.40699979290366,0.0,0.00390625,302,252,200,0,0,1
chal-257,( 2.0 + 12.0 ),14,Addition,0.4785,SOAP_Calculator,14.0,1,75.28099999763072,15.625,0.0078125,303,252,200,0,0,1
chal-694,( 9.0 - ( 14.0 - 9.0 ) ),4,Subtraction,0.937,SOAP_Calculator,4.0,1,149.7347999829799,0.0,0.01171875,605,502,200,0,0,2
chal-741,( 40.0 / 2.0 ),20,Common-Division,0.4785,SOAP_Calculator,20.0,1,93.34350004792213,0.0,0.00390625,303,252,200,0,0,1
chal-578,( 133.0 - 51.0 ),82,Subtraction,0.5091,SOAP_Calculator,82.0,1,95.21579998545349,0.0,0,305,252,200,0,0,1
chal-158,( 37.0 - 16.0 ),21,Subtraction,0.4938,SOAP_Calculator,21.0,1,73.81059997715056,0.0,0.09375,304,252,200,0,0,1
chal-613,( 60.0 - 7.0 ),53,Subtraction,0.4785,SOAP_Calculator,53.0,1,92.79310004785657,0.0,0.01171875,303,252,200,0,0,1
chal-393,( 42.0 - 29.0 ),13,Subtraction,0.4938,SOAP_Calculator,13.0,1,94.15509994141757,0.0,0,304,252,200,0,0,1
chal-970,( 10.0 / 5.0 ),2,Common-Division,0.4785,SOAP_Calculator,2.0,1,72.39350001327693,0.0,0.0390625,303,251,200,0,0,1
chal-689,( 98.0 / 7.0 ),14,Common-Division,0.4785,SOAP_Calculator,14.0,1,72.11440009996295,0.0,0,303,252,200,0,0,1
chal-362,( 16.0 / 4.0 ),4,Common-Division,0.4785,SOAP_Calculator,4.0,1,74.85799980349839,0.0,0.03515625,303,251,200,0,0,1
chal-817,( 16.0 - 14.0 ),2,Subtraction,0.4938,SOAP_Calculator,2.0,1,73.0067000258714,15.625,0,304,251,200,0,0,1
chal-402,( 8.0 - 5.0 ),3,Subtraction,0.4632,SOAP_Calculator,3.0,1,74.50710004195571,0.0,0,302,251,200,0,0,1
chal-93,( ( 40.0 - 5.0 ) - 13.0 ),22,Subtraction,0.9475,SOAP_Calculator,22.0,1,151.2984000146389,0.0,0.0078125,607,504,200,0,0,2
chal-918,( 528.0 - 252.0 ),276,Subtraction,0.5244,SOAP_Calculator,276.0,1,94.29879998788238,0.0,0.01953125,306,253,200,0,0,1
chal-490,( 54.0 - 29.0 ),25,Subtraction,0.4938,SOAP_Calculator,25.0,1,73.33340006880462,0.0,0,304,252,200,0,0,1
chal-452,( 25.0 / 5.0 ),5,Common-Division,0.4785,SOAP_Calculator,5.0,1,76.07969990931451,0.0,0,303,251,200,0,0,1
chal-252,( 144.0 - 79.0 ),65,Subtraction,0.5091,SOAP_Calculator,65.0,1,93.28759997151792,15.625,0.05078125,305,252,200,0,0,1
chal-654,( 8.0 + 6.0 ),14,Addition,0.4632,SOAP_Calculator,14.0,1,53.13530005514622,15.625,0.04296875,302,252,200,0,0,1
