ID,Equation,Answer,Type,Complexity
chal-654,( 8.0 + 6.0 ),14,Addition,0.4632
chal-770,( 19.0 - 5.0 ),14,Subtraction,0.4785
chal-671,( 7.0 + 13.0 ),20,Addition,0.4785
chal-130,( 14.0 - 7.0 ),7,Subtraction,0.4785
chal-638,( 8.0 / 4.0 ),2,Common-Division,0.4632
chal-992,( 308.0 + 318.0 ),626,Addition,0.5244
chal-343,( 4.0 - 3.0 ),1,Subtraction,0.4632
chal-309,( 56.0 * 39.0 ),2184,Multiplication,0.4938
chal-137,( 115.0 - 111.0 ),4,Subtraction,0.5244
chal-89,( 21.0 - 16.0 ),5,Subtraction,0.4938
chal-328,( 78.0 / 3.0 ),26,Common-Division,0.4785
chal-476,( 10.0 / ( 4.0 + 6.0 ) ),1,Common-Division,0.937
chal-982,( 62.0 - 39.0 ),23,Subtraction,0.4938
chal-851,( 62.0 * 183.0 ),11346,Multiplication,0.5091
chal-893,( 61.0 - 52.0 ),9,Subtraction,0.4938
chal-376,( 76.0 * 2.0 ),152,Multiplication,0.4785
chal-179,( ( 6.0 + 3.0 ) + 5.0 ),14,Addition,0.9265
chal-27,( 450.0 + 38.0 ),488,Addition,0.5091
chal-350,( 3.0 + 10.0 ),13,Addition,0.4785
chal-500,( 180.0 / 15.0 ),12,Common-Division,0.5091
chal-475,( 612.0 / 6.0 ),102,Common-Division,0.4938
chal-618,( ( 57.0 + 39.0 ) - 34.0 ),62,Subtraction,0.958
chal-698,( 10.0 - 7.0 ),3,Subtraction,0.4785
chal-51,( 97.0 - 40.0 ),57,Subtraction,0.4938
chal-212,( 25.0 * 14.0 ),350,Multiplication,0.4938
chal-382,( 20.0 - 19.0 ),1,Subtraction,0.4938
chal-884,( 53.0 - 14.0 ),39,Subtraction,0.4938
chal-174,( 17.0 - 9.0 ),8,Subtraction,0.4785
chal-148,( 628.0 - 159.0 ),469,Subtraction,0.5244
chal-420,( 20.0 - 12.0 ),8,Subtraction,0.4938
chal-962,( 108.0 * 58.0 ),6264,Multiplication,0.5091
chal-149,( 576.0 / 8.0 ),72,Common-Division,0.4938
chal-976,( 20.0 + 14.0 ),34,Addition,0.4938
chal-80,( 215.0 * 20.0 ),4300,Multiplication,0.5091
chal-776,( 12.0 * 35.0 ),420,Multiplication,0.4938
chal-303,( 13.0 + 12.0 ),25,Addition,0.4938
chal-996,( 36.0 / 12.0 ),3,Common-Division,0.4938
chal-526,( 38.0 / 19.0 ),2,Common-Division,0.4938
chal-775,( 12.0 + 9.0 ),21,Addition,0.4785
chal-232,( 8.0 * 35.0 ),280,Multiplication,0.4785
chal-626,( ( 14.0 - 20.0 ) + 8.0 ),2,Addition,0.9475
chal-801,( 4.0 - ( 3.0 - 4.0 ) ),5,Subtraction,0.9265
chal-562,( 6.0 - 2.0 ),4,Subtraction,0.4632
chal-510,( 37.0 - 15.0 ),22,Subtraction,0.4938
chal-841,( 7.0 - 2.0 ),5,Subtraction,0.4632
chal-495,( 17.0 - 13.0 ),4,Subtraction,0.4938
chal-120,( 27.0 - 5.0 ),22,Subtraction,0.4785
chal-478,( 54.0 - 48.0 ),6,Subtraction,0.4938
chal-145,( 257.0 - 120.0 ),137,Subtraction,0.5244
chal-30,( 4.0 / 2.0 ),2,Common-Division,0.4632
chal-911,( 28.0 * 4.0 ),112,Multiplication,0.4785
chal-122,( ( 19.0 + 237.0 ) - 231.0 ),25,Subtraction,0.979
chal-606,( 61.0 + 177.0 ),238,Addition,0.5091
chal-62,( 6.0 / 3.0 ),2,Common-Division,0.4632
chal-872,( 11.0 * 9.0 ),99,Multiplication,0.4785
chal-573,( 34.0 - 15.0 ),19,Subtraction,0.4938
chal-6,( 49.0 - 3.0 ),46,Subtraction,0.4785
chal-927,( 24.0 - 17.0 ),7,Subtraction,0.4938
chal-640,( 11.0 - 8.0 ),3,Subtraction,0.4785
chal-440,( 7.0 - 2.0 ),5,Subtraction,0.4632
chal-730,( 23.0 - 10.0 ),13,Subtraction,0.4938
chal-194,( 40.0 - 19.0 ),21,Subtraction,0.4938
chal-753,( 376.0 - 111.0 ),265,Subtraction,0.5244
chal-627,( 16.0 + 6.0 ),22,Addition,0.4785
chal-572,( ( 134.0 - 39.0 ) - 68.0 ),27,Subtraction,0.9685
chal-18,( 732.0 + 682.0 ),1414,Addition,0.5244
chal-743,( ( 6.0 - 2.0 ) + 7.0 ),11,Addition,0.9265
chal-915,( ( 87.0 - 7.0 ) - 7.0 ),73,Subtraction,0.937
chal-511,( 10.0 / 5.0 ),2,Common-Division,0.4785
chal-574,( 95.0 * 118.0 ),11210,Multiplication,0.5091
chal-139,( 8.0 / 4.0 ),2,Common-Division,0.4632
chal-192,( 20.0 / 2.0 ),10,Common-Division,0.4785
chal-5,( 30.0 - 28.0 ),2,Subtraction,0.4938
chal-444,( ( 17.0 - 7.0 ) - 8.0 ),2,Subtraction,0.937
chal-21,( ( 121.0 - 105.0 ) + 170.0 ),186,Addition,0.9895
chal-214,( 21.0 - 2.0 ),19,Subtraction,0.4785
chal-65,( 149.0 - 10.0 ),139,Subtraction,0.5091
chal-412,( 9.0 - 2.0 ),7,Subtraction,0.4632
chal-302,( ( 14.0 - 5.0 ) - 6.0 ),3,Subtraction,0.937
chal-334,( ( 23.0 + 4.0 ) - 2.0 ),25,Subtraction,0.937
chal-193,( 14.0 - ( 4.0 * 3.0 ) ),2,Subtraction,0.937
chal-665,( 240.0 - 210.0 ),30,Subtraction,0.5244
chal-263,( 89.0 - 63.0 ),26,Subtraction,0.4938
chal-648,( 666.0 - 100.0 ),566,Subtraction,0.5244
chal-811,( 13.0 + 8.0 ),21,Addition,0.4785
chal-233,( 16.0 - 8.0 ),8,Subtraction,0.4785
chal-796,( 167.0 - 108.0 ),59,Subtraction,0.5244
chal-682,( 67.0 - 35.0 ),32,Subtraction,0.4938
chal-805,( 131.0 - 19.0 ),112,Subtraction,0.5091
chal-483,( ( 53.0 + 181.0 ) * 466.0 ),109044,Multiplication,0.979
chal-361,( 51.0 - 44.0 ),7,Subtraction,0.4938
chal-839,( 85.0 - ( 23.0 + 37.0 ) ),25,Subtraction,0.958
chal-237,( 397.0 + 85.0 ),482,Addition,0.5091
chal-628,( 34044.0 + 424944.0 ),458988,Addition,0.6008
chal-958,( 21.0 / 3.0 ),7,Common-Division,0.4785
chal-583,( ( 8.0 + 8.0 ) - 3.0 ),13,Subtraction,0.9265
chal-273,( 4.0 * 12.0 ),48,Multiplication,0.4785
chal-202,( 60.0 / 10.0 ),6,Common-Division,0.4938
chal-14,( ( 4.0 + 13.0 ) * 15.0 ),255,Multiplication,0.9475
chal-428,( 10.0 + 8.0 ),18,Addition,0.4785
chal-240,( ( 51.0 + 22.0 ) - 4.0 ),69,Subtraction,0.9475
chal-85,( 4.0 * 5.0 ),20,Multiplication,0.4632
chal-533,( 17.0 - 16.0 ),1,Subtraction,0.4938
chal-173,( 26.0 * 33.0 ),858,Multiplication,0.4938
chal-290,( 557.0 + 188.0 ),745,Addition,0.5244
chal-486,( 65.0 * 6.0 ),390,Multiplication,0.4785
chal-330,( 71.0 - 60.0 ),11,Subtraction,0.4938
chal-684,( 17.0 - 13.0 ),4,Subtraction,0.4938
chal-319,( ( 4.0 + 2.0 ) - 3.0 ),3,Subtraction,0.9265
chal-455,( 7.0 - 6.0 ),1,Subtraction,0.4632
chal-250,( 2.0 * 7.0 ),14,Multiplication,0.4632
chal-847,( ( 28.0 + 52.0 ) * 26.0 ),2080,Multiplication,0.958
chal-280,( 18.0 / 6.0 ),3,Common-Division,0.4785
chal-456,( 4.0 + 6.0 ),10,Addition,0.4632
chal-902,( ( 9.0 - 4.0 ) + 5.0 ),10,Addition,0.9265
chal-762,( 5.0 - 2.0 ),3,Subtraction,0.4632
chal-548,( 95.0 - 64.0 ),31,Subtraction,0.4938
chal-181,( ( 13.0 * 17.0 ) + 8.0 ),229,Addition,0.9475
chal-558,( 54.0 - 13.0 ),41,Subtraction,0.4938
chal-629,( 97.0 - 8.0 ),89,Subtraction,0.4785
chal-424,( 457.0 - 63.0 ),394,Subtraction,0.5091
chal-844,( 56.0 / 4.0 ),14,Common-Division,0.4785
chal-11,( 6.0 - ( 3.0 + 2.0 ) ),1,Subtraction,0.9265
chal-200,( 360.0 / 9.0 ),40,Common-Division,0.4938
chal-426,( ( 3.0 + 4.0 ) - 5.0 ),2,Subtraction,0.9265
chal-535,( ( 573.0 - 195.0 ) - 210.0 ),168,Subtraction,0.9895
chal-32,( 17.0 - 15.0 ),2,Subtraction,0.4938
chal-580,( 128.0 - 38.0 ),90,Subtraction,0.5091
chal-405,( 32.0 - 23.0 ),9,Subtraction,0.4938
chal-278,( 10.0 / 2.0 ),5,Common-Division,0.4785
chal-445,( 14.0 - 6.0 ),8,Subtraction,0.4785
chal-772,( 82.0 * 25.0 ),2050,Multiplication,0.4938
chal-373,( ( 2.0 + 4.0 ) - 3.0 ),3,Subtraction,0.9265
chal-723,( 21.0 - 7.0 ),14,Subtraction,0.4785
chal-401,( 19.0 - 11.0 ),8,Subtraction,0.4938
chal-79,( 11.0 - 9.0 ),2,Subtraction,0.4785
chal-538,( 19.0 - 12.0 ),7,Subtraction,0.4938
chal-576,( 12.0 / 3.0 ),4,Common-Division,0.4785
chal-549,( 18.0 / 6.0 ),3,Common-Division,0.4785
chal-711,( 9.0 - 7.0 ),2,Subtraction,0.4632
chal-42,( 50.0 - 46.0 ),4,Subtraction,0.4938
chal-886,( 15.0 - 5.0 ),10,Subtraction,0.4785
chal-633,( 12.0 / 3.0 ),4,Common-Division,0.4785
chal-859,( ( 23.0 + 61.0 ) * 29.0 ),2436,Multiplication,0.958
chal-140,( 19.0 - 3.0 ),16,Subtraction,0.4785
chal-386,( 5.0 - ( 14.0 - 11.0 ) ),2,Subtraction,0.9475
chal-457,( 28.0 - 7.0 ),21,Subtraction,0.4785
chal-933,( ( 2.0 + 150.0 ) - 58.0 ),94,Subtraction,0.958
chal-814,( 93.0 - 60.0 ),33,Subtraction,0.4938
chal-141,( 23.0 - 8.0 ),15,Subtraction,0.4785
chal-625,( 5.0 - 2.0 ),3,Subtraction,0.4632
chal-321,( 15.0 - 6.0 ),9,Subtraction,0.4785
chal-709,( 2.0 + 7.0 ),9,Addition,0.4632
chal-458,( 8.0 / 2.0 ),4,Common-Division,0.4632
chal-874,( ( 105.0 + 71.0 ) - 137.0 ),39,Subtraction,0.979
chal-327,( 20.0 - 7.0 ),13,Subtraction,0.4785
chal-127,( 70.0 / 14.0 ),5,Common-Division,0.4938
chal-133,( ( 22.0 + 40.0 ) - 2.0 ),60,Subtraction,0.9475
chal-818,( 169.0 - 137.0 ),32,Subtraction,0.5244
chal-398,( 18.0 - 8.0 ),10,Subtraction,0.4785
chal-916,( 485.0 - 232.0 ),253,Subtraction,0.5244
chal-994,( 84.0 / 2.0 ),42,Common-Division,0.4785
chal-416,( 15.0 - 12.0 ),3,Subtraction,0.4938
chal-596,( ( 76.0 - 64.0 ) * 50.0 ),600,Multiplication,0.958
chal-259,( 8.0 + 32.0 ),40,Addition,0.4785
chal-314,( 81.0 - 59.0 ),22,Subtraction,0.4938
chal-410,( 154.0 + 301.0 ),455,Addition,0.5244
chal-163,( 28.0 - 15.0 ),13,Subtraction,0.4938
chal-305,( 5.0 + 9.0 ),14,Addition,0.4632
chal-287,( 571.0 - 161.0 ),410,Subtraction,0.5244
chal-645,( 32.0 - 20.0 ),12,Subtraction,0.4938
chal-636,( 31.0 * 6.0 ),186,Multiplication,0.4785
chal-354,( 66.0 * 28.0 ),1848,Multiplication,0.4938
chal-69,( 11.0 * 2.0 ),22,Multiplication,0.4785
chal-679,( ( 23.0 - 11.0 ) / 2.0 ),6,Common-Division,0.9475
chal-834,( 22.0 - 12.0 ),10,Subtraction,0.4938
chal-936,( 391.0 - 38.0 ),353,Subtraction,0.5091
chal-680,( ( 4.0 - 2.0 ) + 3.0 ),1,Addition,0.9265
chal-720,( 84.0 - 52.0 ),32,Subtraction,0.4938
chal-238,( 2.0 + 6.0 ),8,Addition,0.4632
chal-266,( ( 43.0 * 23.0 ) + 8.0 ),997,Addition,0.9475
chal-91,( 6.0 - 5.0 ),1,Subtraction,0.4632
chal-836,( ( 57.0 + 26.0 ) + 27.0 ),110,Addition,0.958
chal-863,( 12.0 / 2.0 ),6,Common-Division,0.4785
chal-55,( 14.0 + 10.0 ),24,Addition,0.4938
chal-658,( 9.0 + 10.0 ),19,Addition,0.4785
chal-944,( 82.0 - 79.0 ),3,Subtraction,0.4938
chal-407,( 18.0 - 10.0 ),8,Subtraction,0.4938
chal-381,( 450.0 / 30.0 ),15,Common-Division,0.5091
chal-125,( 14.0 - ( 12.0 - 10.0 ) ),12,Subtraction,0.958
chal-492,( 15.0 - 7.0 ),8,Subtraction,0.4785
chal-803,( 5.0 + 6.0 ),11,Addition,0.4632
chal-901,( 20.0 - 17.0 ),3,Subtraction,0.4938
chal-431,( 9.0 - 3.0 ),6,Subtraction,0.4632
chal-946,( 57.0 - 31.0 ),26,Subtraction,0.4938
chal-704,( 151.0 - 50.0 ),101,Subtraction,0.5091
chal-295,( 48.0 - 11.0 ),37,Subtraction,0.4938
chal-879,( 6.0 * 12.0 ),72,Multiplication,0.4785
chal-213,( 17.0 * 4.0 ),68,Multiplication,0.4785
chal-919,( ( 102.0 - 22.0 ) / 8.0 ),10,Common-Division,0.958
chal-38,( 7.0 - 5.0 ),2,Subtraction,0.4632
chal-861,( 148.0 - 103.0 ),45,Subtraction,0.5244
chal-899,( 5.0 + 8.0 ),13,Addition,0.4632
chal-126,( 140.0 - 22.0 ),118,Subtraction,0.5091
chal-24,( 5.0 - 4.0 ),1,Subtraction,0.4632
chal-840,( 902.0 + 44.0 ),946,Addition,0.5091
chal-977,( 492.0 / 12.0 ),41,Common-Division,0.5091
chal-102,( 19.0 - 11.0 ),8,Subtraction,0.4938
chal-116,( 160.0 - 56.0 ),104,Subtraction,0.5091
chal-436,( 36.0 / 12.0 ),3,Common-Division,0.4938
chal-951,( 19.0 + 39.0 ),58,Addition,0.4938
chal-121,( 7.0 - 4.0 ),3,Subtraction,0.4632
chal-385,( 120.0 / 20.0 ),6,Common-Division,0.5091
chal-48,( ( 8.0 + 10.0 ) - 7.0 ),11,Subtraction,0.937
chal-172,( 30.0 / 5.0 ),6,Common-Division,0.4785
chal-318,( 18.0 - 4.0 ),14,Subtraction,0.4785
chal-325,( ( 6.0 + 16.0 ) + 19.0 ),41,Addition,0.9475
chal-881,( 7.0 - 4.0 ),3,Subtraction,0.4632
chal-264,( 3.0 - 2.0 ),1,Subtraction,0.4632
chal-146,( 214.0 + 910.0 ),1124,Addition,0.5244
chal-44,( ( 3.0 + 2.0 ) - 4.0 ),1,Subtraction,0.9265
chal-505,( 34.0 + 18.0 ),52,Addition,0.4938
chal-87,( 6.0 - ( 2.0 + 3.0 ) ),1,Subtraction,0.9265
chal-377,( 145.0 - 139.0 ),6,Subtraction,0.5244
chal-531,( 11.0 - 8.0 ),3,Subtraction,0.4785
chal-985,( ( 28.0 + 939.0 ) * 1091.0 ),1054997,Multiplication,0.9895
chal-852,( 37.0 - 30.0 ),7,Subtraction,0.4938
chal-346,( 5.0 + 12.0 ),17,Addition,0.4785
chal-404,( 16.0 - 5.0 ),11,Subtraction,0.4785
chal-227,( 28.0 / 2.0 ),14,Common-Division,0.4785
chal-988,( 3.0 + 2.0 ),5,Addition,0.4632
chal-165,( 115.0 - 78.0 ),37,Subtraction,0.5091
chal-336,( 7.0 - ( 2.0 + 4.0 ) ),1,Subtraction,0.9265
chal-601,( 4.0 - 2.0 ),2,Subtraction,0.4632
chal-917,( 134.0 - 11.0 ),123,Subtraction,0.5091
chal-473,( 15.0 / 5.0 ),3,Common-Division,0.4785
chal-448,( 3.0 - 2.0 ),1,Subtraction,0.4632
chal-108,( 141.0 * 71.0 ),10011,Multiplication,0.5091
chal-857,( 264.0 - ( 15.0 * 11.0 ) ),99,Subtraction,0.9685
chal-156,( 10.0 / 2.0 ),5,Common-Division,0.4785
chal-459,( ( 41.0 + 26.0 ) + 4.0 ),71,Addition,0.9475
chal-281,( ( 9.0 + 62.0 ) + 140.0 ),211,Addition,0.958
