ID,Equation,Answer,Type,Complexity,Method_Used,Output_Answer,IsCorrect,Latency_ms,CPU_Cycles,RAM_Peak_MB
chal-497,( 28.0 - 16.0 ),12,Subtraction,0.5,Local_Fn,12.0,1,0.019200146198272705,0.0,0
chal-925,( 13.0 + 8.0 ),21,Addition,0.5,Local_Fn,21.0,1,0.01910002902150154,0.0,0
chal-370,( ( 17.0 - 10.0 ) + 7.0 ),14,Addition,1.0,Local_Fn,14.0,1,0.02219993621110916,0.0,0
chal-597,( 14.0 / 7.0 ),2,Common-Division,0.5,Local_Fn,2.0,1,0.018700025975704193,0.0,0
chal-721,( 71.0 - 20.0 ),51,Subtraction,0.5,Local_Fn,51.0,1,0.019900035113096237,0.0,0
chal-54,( 22.0 / 11.0 ),2,Common-Division,0.5,Local_Fn,2.0,1,0.018600141629576683,0.0,0
chal-427,( 30.0 / 2.0 ),15,Common-Division,0.5,Local_Fn,15.0,1,0.01859990879893303,0.0,0
chal-57,( 6.0 + 14.0 ),20,Addition,0.5,Local_Fn,20.0,1,0.021999934688210487,0.0,0.00390625
chal-265,( 7.0 - 4.0 ),3,Subtraction,0.5,Local_Fn,3.0,1,0.019900035113096237,0.0,0
chal-773,( 10.0 - 3.0 ),7,Subtraction,0.5,Local_Fn,7.0,1,0.019399914890527725,0.0,0
chal-186,( 106.0 - 64.0 ),42,Subtraction,0.5,Local_Fn,42.0,1,0.018999911844730377,0.0,0
chal-467,( 382.0 + 374.0 ),756,Addition,0.5,Local_Fn,756.0,1,0.019799917936325073,0.0,0
chal-790,( 42.0 - 31.0 ),11,Subtraction,0.5,Local_Fn,11.0,1,0.01910002902150154,0.0,0
chal-175,( 8.0 - 3.0 ),5,Subtraction,0.5,Local_Fn,5.0,1,0.01910002902150154,0.0,0
chal-151,( ( 14.0 - 8.0 ) * 2.0 ),12,Multiplication,1.0,Local_Fn,12.0,1,0.021999934688210487,0.0,0
chal-742,( ( 6.0 + 7.0 ) * 5.0 ),65,Multiplication,1.0,Local_Fn,65.0,1,0.02119992859661579,0.0,0
chal-114,( 5.0 - 4.0 ),1,Subtraction,0.5,Local_Fn,1.0,1,0.01910002902150154,0.0,0
chal-429,( 555.0 / 5.0 ),111,Common-Division,0.5,Local_Fn,111.0,1,0.019300030544400215,0.0,0
chal-966,( 40.0 - 39.0 ),1,Subtraction,0.5,Local_Fn,1.0,1,0.01950003206729889,0.0,0
chal-19,( 57.0 - 30.0 ),27,Subtraction,0.5,Local_Fn,27.0,1,0.018799910321831703,0.0,0
chal-190,( 6.0 - 2.0 ),4,Subtraction,0.5,Local_Fn,4.0,1,0.01919991336762905,0.0,0
chal-415,( 28.0 - 11.0 ),17,Subtraction,0.5,Local_Fn,17.0,1,0.018799910321831703,0.0,0
chal-590,( 6.0 + 7.0 ),13,Addition,0.5,Local_Fn,13.0,1,0.025399960577487946,0.0,0
chal-667,( 4.0 + 6.0 ),10,Addition,0.5,Local_Fn,10.0,1,0.018900027498602867,0.0,0
chal-764,( 308.0 - 231.0 ),77,Subtraction,0.5,Local_Fn,77.0,1,0.0200001522898674,0.0,0
chal-222,( 78.0 * ( 186.0 - 172.0 ) ),1092,Multiplication,1.0,Local_Fn,1092.0,1,0.021799933165311813,0.0,0
chal-587,( ( 16.0 - 21.0 ) + 10.0 ),5,Addition,1.0,Local_Fn,5.0,1,0.021799933165311813,0.0,0
chal-582,( 5.0 + 2.0 ),7,Addition,0.5,Local_Fn,7.0,1,0.018800143152475357,0.0,0
chal-300,( ( 25.0 + 18.0 ) + 2.0 ),45,Addition,1.0,Local_Fn,45.0,1,0.024300068616867065,0.0,0.00390625
chal-639,( 2.0 + 8.0 ),10,Addition,0.5,Local_Fn,10.0,1,0.01910002902150154,0.0,0
chal-387,( 26.0 * 2.0 ),52,Multiplication,0.5,Local_Fn,52.0,1,0.018800143152475357,0.0,0
chal-365,( 5.0 - 3.0 ),2,Subtraction,0.5,Local_Fn,2.0,1,0.01919991336762905,0.0,0
chal-880,( ( 26.0 - 10.0 ) - 10.0 ),6,Subtraction,1.0,Local_Fn,6.0,1,0.02240017056465149,0.0,0
chal-335,( 10.0 + 6.0 ),16,Addition,0.5,Local_Fn,16.0,1,0.01900014467537403,0.0,0
chal-17,( 697.0 - 228.0 ),469,Subtraction,0.5,Local_Fn,469.0,1,0.02069980837404728,0.0,0
chal-203,( 22.0 * 569.0 ),12518,Multiplication,0.5,Local_Fn,12518.0,1,0.018600141629576683,0.0,0
chal-2,( 4.0 - 3.0 ),1,Subtraction,0.5,Local_Fn,1.0,1,0.018700025975704193,0.0,0
chal-39,( 356.0 / 178.0 ),2,Common-Division,0.5,Local_Fn,2.0,1,0.019399914890527725,0.0,0
chal-291,( 197.0 - 66.0 ),131,Subtraction,0.5,Local_Fn,131.0,1,0.01919991336762905,0.0,0
chal-494,( 106.0 - 14.0 ),92,Subtraction,0.5,Local_Fn,92.0,1,0.019099796190857887,0.0,0
chal-248,( 32.0 * 20.0 ),640,Multiplication,0.5,Local_Fn,640.0,1,0.01859990879893303,0.0,0
chal-507,( 108.0 - 66.0 ),42,Subtraction,0.5,Local_Fn,42.0,1,0.018999911844730377,0.0,0
chal-897,( ( 28.0 + 14.0 ) / 6.0 ),7,Common-Division,1.0,Local_Fn,7.0,1,0.027999980375170708,0.0,0
chal-714,( 97.0 - 72.0 ),25,Subtraction,0.5,Local_Fn,25.0,1,0.023700064048171043,0.0,0
chal-892,( 8.0 - 7.0 ),1,Subtraction,0.5,Local_Fn,1.0,1,0.021799933165311813,0.0,0
chal-77,( 4.0 - 2.0 ),2,Subtraction,0.5,Local_Fn,2.0,1,0.02010003663599491,0.0,0
chal-912,( 158.0 - 147.0 ),11,Subtraction,0.5,Local_Fn,11.0,1,0.02050003968179226,0.0,0
chal-793,( ( 2.0 + 3.0 ) + 10.0 ),15,Addition,1.0,Local_Fn,15.0,1,0.02300017513334751,0.0,0
chal-509,( 5.0 + 15.0 ),20,Addition,0.5,Local_Fn,20.0,1,0.019900035113096237,0.0,0
chal-178,( 98.0 * 89.0 ),8722,Multiplication,0.5,Local_Fn,8722.0,1,0.020099803805351257,0.015625,0
chal-843,( 120.0 / 24.0 ),5,Common-Division,0.5,Local_Fn,5.0,1,0.020899809896945953,0.0,0
chal-201,( 4.0 + 79.0 ),83,Addition,0.5,Local_Fn,83.0,1,0.019999919459223747,0.0,0
chal-766,( 203.0 / 7.0 ),29,Common-Division,0.5,Local_Fn,29.0,1,0.019700033590197563,0.0,0
chal-910,( 36.0 + 17.0 ),53,Addition,0.5,Local_Fn,53.0,1,0.02019992098212242,0.0,0
chal-294,( 6.0 - 3.0 ),3,Subtraction,0.5,Local_Fn,3.0,1,0.019700033590197563,0.0,0
chal-539,( 21.0 + 12.0 ),33,Addition,0.5,Local_Fn,33.0,1,0.01940014772117138,0.0,0
chal-25,( ( 3.0 + 4.0 ) - 6.0 ),1,Subtraction,1.0,Local_Fn,1.0,1,0.022799940779805183,0.0,0
chal-695,( 7.0 + 9.0 ),16,Addition,0.5,Local_Fn,16.0,1,0.020900042727589607,0.0,0
chal-211,( 78.0 - 31.0 ),47,Subtraction,0.5,Local_Fn,47.0,1,0.019900035113096237,0.0,0
chal-425,( ( 51.0 - 8.0 ) * 130.0 ),5590,Multiplication,1.0,Local_Fn,5590.0,1,0.026799971237778664,0.0,0.00390625
chal-529,( 10.0 - ( 6.0 + 3.0 ) ),1,Subtraction,1.0,Local_Fn,1.0,1,0.022700056433677673,0.0,0
chal-35,( 10.0 - ( 6.0 + 3.0 ) ),1,Subtraction,1.0,Local_Fn,1.0,1,0.021999934688210487,0.0,0
chal-929,( ( 10.0 * 6.0 ) - 11.0 ),49,Subtraction,1.0,Local_Fn,49.0,1,0.02219993621110916,0.0,0
chal-399,( ( 35.0 - 13.0 ) - 13.0 ),9,Subtraction,1.0,Local_Fn,9.0,1,0.021300045773386955,0.0,0
chal-608,( 126.0 - 48.0 ),78,Subtraction,0.5,Local_Fn,78.0,1,0.01950003206729889,0.0,0
chal-299,( ( 17.0 + 15.0 ) + 2.0 ),34,Addition,1.0,Local_Fn,34.0,1,0.021600164473056793,0.0,0
chal-849,( ( 11.0 - 2.0 ) - 2.0 ),7,Subtraction,1.0,Local_Fn,7.0,1,0.021999934688210487,0.0,0
chal-669,( 92.0 - 68.0 ),24,Subtraction,0.5,Local_Fn,24.0,1,0.01950003206729889,0.0,0
chal-283,( 13.0 + 21.0 ),34,Addition,0.5,Local_Fn,34.0,1,0.019800150766968727,0.0,0
chal-940,( 12.0 - 2.0 ),10,Subtraction,0.5,Local_Fn,10.0,1,0.019700033590197563,0.0,0
chal-945,( 28.0 / 2.0 ),14,Common-Division,0.5,Local_Fn,14.0,1,0.0195999164134264,0.0,0
chal-607,( 4.0 + 6.0 ),10,Addition,0.5,Local_Fn,10.0,1,0.019600149244070053,0.0,0
chal-960,( 90.0 / 6.0 ),15,Common-Division,0.5,Local_Fn,15.0,1,0.01919991336762905,0.0,0
chal-935,( 27.0 * 23.0 ),621,Multiplication,0.5,Local_Fn,621.0,1,0.019399914890527725,0.0,0
chal-732,( 3.0 - 2.0 ),1,Subtraction,0.5,Local_Fn,1.0,1,0.0200001522898674,0.0,0
chal-288,( 9.0 - 7.0 ),2,Subtraction,0.5,Local_Fn,2.0,1,0.018999911844730377,0.0,0
chal-528,( 154.0 / 11.0 ),14,Common-Division,0.5,Local_Fn,14.0,1,0.0195999164134264,0.0,0
chal-808,( 32.0 / 4.0 ),8,Common-Division,0.5,Local_Fn,8.0,1,0.02140016295015812,0.0,0
chal-230,( 4.0 / 2.0 ),2,Common-Division,0.5,Local_Fn,2.0,1,0.018900027498602867,0.0,0
chal-437,( 8.0 + 6.0 ),14,Addition,0.5,Local_Fn,14.0,1,0.01900014467537403,0.0,0
chal-29,( 40.0 + 49.0 ),89,Addition,0.5,Local_Fn,89.0,1,0.02040015533566475,0.0,0
chal-375,( 33.0 - 13.0 ),20,Subtraction,0.5,Local_Fn,20.0,1,0.022300053387880325,0.0,0.00390625
chal-820,( 133.0 / 19.0 ),7,Common-Division,0.5,Local_Fn,7.0,1,0.019200146198272705,0.0,0
chal-317,( 6.0 - 5.0 ),1,Subtraction,0.5,Local_Fn,1.0,1,0.019300030544400215,0.0,0
chal-561,( ( 6.0 + 7.0 ) + 3.0 ),16,Addition,1.0,Local_Fn,16.0,1,0.02140016295015812,0.0,0
chal-242,( 81.0 - 60.0 ),21,Subtraction,0.5,Local_Fn,21.0,1,0.01950003206729889,0.0,0
chal-150,( 16.0 - 13.0 ),3,Subtraction,0.5,Local_Fn,3.0,1,0.020300038158893585,0.0,0
chal-517,( ( 3.0 + 6.0 ) - 4.0 ),5,Subtraction,1.0,Local_Fn,5.0,1,0.021900050342082977,0.0,0
chal-418,( 5.0 + 4.0 ),9,Addition,0.5,Local_Fn,9.0,1,0.01950003206729889,0.0,0
chal-661,( 19.0 * 4.0 ),76,Multiplication,0.5,Local_Fn,76.0,1,0.01919991336762905,0.0,0
chal-199,( 2.0 * 14.0 ),28,Multiplication,0.5,Local_Fn,28.0,1,0.019399914890527725,0.0,0
chal-586,( 14.0 + 16.0 ),30,Addition,0.5,Local_Fn,30.0,1,0.019300030544400215,0.0,0
chal-326,( 38.0 / 2.0 ),19,Common-Division,0.5,Local_Fn,19.0,1,0.02310005947947502,0.0,0.00390625
chal-824,( 36.0 / 18.0 ),2,Common-Division,0.5,Local_Fn,2.0,1,0.01919991336762905,0.0,0
chal-703,( 39.0 - 17.0 ),22,Subtraction,0.5,Local_Fn,22.0,1,0.018799910321831703,0.0,0
chal-950,( 23.0 - 16.0 ),7,Subtraction,0.5,Local_Fn,7.0,1,0.019099796190857887,0.0,0
chal-516,( 28.0 * ( 24.0 / 16.0 ) ),42,Multiplication,1.0,Local_Fn,42.0,1,0.021700048819184303,0.0,0
chal-865,( 33.0 - 19.0 ),14,Subtraction,0.5,Local_Fn,14.0,1,0.01910002902150154,0.0,0
chal-837,( 288.0 - 264.0 ),24,Subtraction,0.5,Local_Fn,24.0,1,0.019700033590197563,0.0,0
chal-878,( 31.0 - 23.0 ),8,Subtraction,0.5,Local_Fn,8.0,1,0.019300030544400215,0.0,0
chal-360,( 9.0 + 18.0 ),27,Addition,0.5,Local_Fn,27.0,1,0.01900014467537403,0.0,0
chal-595,( ( 25.0 + 32.0 ) - 26.0 ),31,Subtraction,1.0,Local_Fn,31.0,1,0.021399930119514465,0.0,0
chal-789,( 5.0 - 3.0 ),2,Subtraction,0.5,Local_Fn,2.0,1,0.019900035113096237,0.0,0
chal-189,( 42.0 / 2.0 ),21,Common-Division,0.5,Local_Fn,21.0,1,0.02029980532824993,0.0,0
chal-67,( 8.0 / 2.0 ),4,Common-Division,0.5,Local_Fn,4.0,1,0.01950003206729889,0.0,0
chal-356,( 8.0 * 10.0 ),80,Multiplication,0.5,Local_Fn,80.0,1,0.019700033590197563,0.0,0
chal-800,( 6.0 - 3.0 ),3,Subtraction,0.5,Local_Fn,3.0,1,0.01910002902150154,0.0,0
chal-903,( 8.0 - 6.0 ),2,Subtraction,0.5,Local_Fn,2.0,1,0.01910002902150154,0.0,0
chal-921,( 12.0 - 5.0 ),7,Subtraction,0.5,Local_Fn,7.0,1,0.01910002902150154,0.0,0
chal-943,( 15.0 - 14.0 ),1,Subtraction,0.5,Local_Fn,1.0,1,0.018799910321831703,0.0,0
chal-331,( ( 79.0 - 24.0 ) - 51.0 ),4,Subtraction,1.0,Local_Fn,4.0,1,0.022399937734007835,0.0,0
chal-728,( 12.0 - ( 21.0 - 13.0 ) ),4,Subtraction,1.0,Local_Fn,4.0,1,0.021399930119514465,0.0,0
chal-397,( 16.0 * 2.0 ),32,Multiplication,0.5,Local_Fn,32.0,1,0.019300030544400215,0.0,0
chal-464,( 63.0 - 3.0 ),60,Subtraction,0.5,Local_Fn,60.0,1,0.03320001997053623,0.0,0.00390625
chal-394,( 36.0 / 4.0 ),9,Common-Division,0.5,Local_Fn,9.0,1,0.026999972760677338,0.0,0
chal-312,( ( 100.0 + 148.0 ) - 159.0 ),89,Subtraction,1.0,Local_Fn,89.0,1,0.02259993925690651,0.0,0
chal-681,( 87.0 + 18.0 ),105,Addition,0.5,Local_Fn,105.0,1,0.019999919459223747,0.0,0
chal-745,( 21.0 - 4.0 ),17,Subtraction,0.5,Local_Fn,17.0,1,0.0195999164134264,0.0,0
chal-922,( 44.0 - 39.0 ),5,Subtraction,0.5,Local_Fn,5.0,1,0.019300030544400215,0.0,0
chal-462,( ( 12.0 - 2.0 ) - 7.0 ),3,Subtraction,1.0,Local_Fn,3.0,1,0.021399930119514465,0.0,0
chal-523,( ( 33.0 - 24.0 ) / 9.0 ),1,Common-Division,1.0,Local_Fn,1.0,1,0.022600172087550163,0.0,0
chal-632,( 79.0 - 53.0 ),26,Subtraction,0.5,Local_Fn,26.0,1,0.019499799236655235,0.0,0
chal-491,( 20.0 - 4.0 ),16,Subtraction,0.5,Local_Fn,16.0,1,0.019900035113096237,0.0,0
chal-196,( 4.0 * 7.0 ),28,Multiplication,0.5,Local_Fn,28.0,1,0.01910002902150154,0.0,0
chal-257,( 2.0 + 12.0 ),14,Addition,0.5,Local_Fn,14.0,1,0.019700033590197563,0.0,0
chal-694,( 9.0 - ( 14.0 - 9.0 ) ),4,Subtraction,1.0,Local_Fn,4.0,1,0.02219993621110916,0.0,0
chal-741,( 40.0 / 2.0 ),20,Common-Division,0.5,Local_Fn,20.0,1,0.019800150766968727,0.0,0
chal-578,( 133.0 - 51.0 ),82,Subtraction,0.5,Local_Fn,82.0,1,0.019300030544400215,0.0,0
chal-158,( 37.0 - 16.0 ),21,Subtraction,0.5,Local_Fn,21.0,1,0.01950003206729889,0.0,0
chal-613,( 60.0 - 7.0 ),53,Subtraction,0.5,Local_Fn,53.0,1,0.01950003206729889,0.0,0
chal-393,( 42.0 - 29.0 ),13,Subtraction,0.5,Local_Fn,13.0,1,0.019399914890527725,0.0,0
chal-970,( 10.0 / 5.0 ),2,Common-Division,0.5,Local_Fn,2.0,1,0.018799910321831703,0.0,0
chal-689,( 98.0 / 7.0 ),14,Common-Division,0.5,Local_Fn,14.0,1,0.018799910321831703,0.0,0
chal-362,( 16.0 / 4.0 ),4,Common-Division,0.5,Local_Fn,4.0,1,0.018900027498602867,0.0,0
chal-817,( 16.0 - 14.0 ),2,Subtraction,0.5,Local_Fn,2.0,1,0.019399914890527725,0.0,0
chal-402,( 8.0 - 5.0 ),3,Subtraction,0.5,Local_Fn,3.0,1,0.01950003206729889,0.0,0
chal-93,( ( 40.0 - 5.0 ) - 13.0 ),22,Subtraction,1.0,Local_Fn,22.0,1,0.021700048819184303,0.0,0
chal-918,( 528.0 - 252.0 ),276,Subtraction,0.5,Local_Fn,276.0,1,0.019600149244070053,0.0,0
chal-490,( 54.0 - 29.0 ),25,Subtraction,0.5,Local_Fn,25.0,1,0.019200146198272705,0.0,0
chal-452,( 25.0 / 5.0 ),5,Common-Division,0.5,Local_Fn,5.0,1,0.019399914890527725,0.0,0
chal-252,( 144.0 - 79.0 ),65,Subtraction,0.5,Local_Fn,65.0,1,0.0195999164134264,0.0,0
chal-654,( 8.0 + 6.0 ),14,Addition,0.5,Local_Fn,14.0,1,0.019099796190857887,0.0,0
chal-770,( 19.0 - 5.0 ),14,Subtraction,0.5,Local_Fn,14.0,1,0.02559996210038662,0.0,0
chal-671,( 7.0 + 13.0 ),20,Addition,0.5,Local_Fn,20.0,1,0.018600141629576683,0.0,0
chal-130,( 14.0 - 7.0 ),7,Subtraction,0.5,Local_Fn,7.0,1,0.01929979771375656,0.0,0
chal-638,( 8.0 / 4.0 ),2,Common-Division,0.5,Local_Fn,2.0,1,0.02219993621110916,0.0,0.00390625
chal-992,( 308.0 + 318.0 ),626,Addition,0.5,Local_Fn,626.0,1,0.02019992098212242,0.0,0
chal-343,( 4.0 - 3.0 ),1,Subtraction,0.5,Local_Fn,1.0,1,0.01940014772117138,0.0,0
chal-309,( 56.0 * 39.0 ),2184,Multiplication,0.5,Local_Fn,2184.0,1,0.018700025975704193,0.0,0
chal-137,( 115.0 - 111.0 ),4,Subtraction,0.5,Local_Fn,4.0,1,0.0195999164134264,0.0,0
chal-89,( 21.0 - 16.0 ),5,Subtraction,0.5,Local_Fn,5.0,1,0.01919991336762905,0.0,0
chal-328,( 78.0 / 3.0 ),26,Common-Division,0.5,Local_Fn,26.0,1,0.019800150766968727,0.0,0
chal-476,( 10.0 / ( 4.0 + 6.0 ) ),1,Common-Division,1.0,Local_Fn,1.0,1,0.022500054910779,0.0,0
chal-982,( 62.0 - 39.0 ),23,Subtraction,0.5,Local_Fn,23.0,1,0.01919991336762905,0.0,0
chal-851,( 62.0 * 183.0 ),11346,Multiplication,0.5,Local_Fn,11346.0,1,0.018800143152475357,0.0,0
chal-893,( 61.0 - 52.0 ),9,Subtraction,0.5,Local_Fn,9.0,1,0.018900027498602867,0.0,0
chal-376,( 76.0 * 2.0 ),152,Multiplication,0.5,Local_Fn,152.0,1,0.018800143152475357,0.0,0
chal-179,( ( 6.0 + 3.0 ) + 5.0 ),14,Addition,1.0,Local_Fn,14.0,1,0.02159993164241314,0.0,0
chal-27,( 450.0 + 38.0 ),488,Addition,0.5,Local_Fn,488.0,1,0.01950003206729889,0.0,0
chal-350,( 3.0 + 10.0 ),13,Addition,0.5,Local_Fn,13.0,1,0.019399914890527725,0.0,0
chal-500,( 180.0 / 15.0 ),12,Common-Division,0.5,Local_Fn,12.0,1,0.01919991336762905,0.0,0
chal-475,( 612.0 / 6.0 ),102,Common-Division,0.5,Local_Fn,102.0,1,0.019700033590197563,0.0,0
chal-618,( ( 57.0 + 39.0 ) - 34.0 ),62,Subtraction,1.0,Local_Fn,62.0,1,0.02150004729628563,0.0,0
chal-698,( 10.0 - 7.0 ),3,Subtraction,0.5,Local_Fn,3.0,1,0.019999919459223747,0.0,0
chal-51,( 97.0 - 40.0 ),57,Subtraction,0.5,Local_Fn,57.0,1,0.01969980075955391,0.0,0
chal-212,( 25.0 * 14.0 ),350,Multiplication,0.5,Local_Fn,350.0,1,0.01859990879893303,0.0,0
chal-382,( 20.0 - 19.0 ),1,Subtraction,0.5,Local_Fn,1.0,1,0.022099819034337997,0.0,0.00390625
chal-884,( 53.0 - 14.0 ),39,Subtraction,0.5,Local_Fn,39.0,1,0.019300030544400215,0.0,0
chal-174,( 17.0 - 9.0 ),8,Subtraction,0.5,Local_Fn,8.0,1,0.01919991336762905,0.0,0
chal-148,( 628.0 - 159.0 ),469,Subtraction,0.5,Local_Fn,469.0,1,0.01900014467537403,0.0,0
chal-420,( 20.0 - 12.0 ),8,Subtraction,0.5,Local_Fn,8.0,1,0.019700033590197563,0.0,0
chal-962,( 108.0 * 58.0 ),6264,Multiplication,0.5,Local_Fn,6264.0,1,0.01869979314506054,0.0,0
chal-149,( 576.0 / 8.0 ),72,Common-Division,0.5,Local_Fn,72.0,1,0.019700033590197563,0.0,0
chal-976,( 20.0 + 14.0 ),34,Addition,0.5,Local_Fn,34.0,1,0.018799910321831703,0.0,0
chal-80,( 215.0 * 20.0 ),4300,Multiplication,0.5,Local_Fn,4300.0,1,0.01910002902150154,0.0,0
chal-776,( 12.0 * 35.0 ),420,Multiplication,0.5,Local_Fn,420.0,1,0.01900014467537403,0.0,0
chal-303,( 13.0 + 12.0 ),25,Addition,0.5,Local_Fn,25.0,1,0.019499799236655235,0.0,0
chal-996,( 36.0 / 12.0 ),3,Common-Division,0.5,Local_Fn,3.0,1,0.021799933165311813,0.0,0.00390625
chal-526,( 38.0 / 19.0 ),2,Common-Division,0.5,Local_Fn,2.0,1,0.018099788576364517,0.0,0
chal-775,( 12.0 + 9.0 ),21,Addition,0.5,Local_Fn,21.0,1,0.01869979314506054,0.0,0
chal-232,( 8.0 * 35.0 ),280,Multiplication,0.5,Local_Fn,280.0,1,0.018999911844730377,0.0,0
chal-626,( ( 14.0 - 20.0 ) + 8.0 ),2,Addition,1.0,Local_Fn,2.0,1,0.022300053387880325,0.0,0
chal-801,( 4.0 - ( 3.0 - 4.0 ) ),5,Subtraction,1.0,Local_Fn,5.0,1,0.02219993621110916,0.0,0
chal-562,( 6.0 - 2.0 ),4,Subtraction,0.5,Local_Fn,4.0,1,0.01910002902150154,0.0,0
chal-510,( 37.0 - 15.0 ),22,Subtraction,0.5,Local_Fn,22.0,1,0.019700033590197563,0.0,0
chal-841,( 7.0 - 2.0 ),5,Subtraction,0.5,Local_Fn,5.0,1,0.018800143152475357,0.0,0
chal-495,( 17.0 - 13.0 ),4,Subtraction,0.5,Local_Fn,4.0,1,0.018799910321831703,0.0,0
chal-120,( 27.0 - 5.0 ),22,Subtraction,0.5,Local_Fn,22.0,1,0.018799910321831703,0.0,0
chal-478,( 54.0 - 48.0 ),6,Subtraction,0.5,Local_Fn,6.0,1,0.021800165995955467,0.0,0
chal-145,( 257.0 - 120.0 ),137,Subtraction,0.5,Local_Fn,137.0,1,0.020399922505021095,0.0,0
chal-30,( 4.0 / 2.0 ),2,Common-Division,0.5,Local_Fn,2.0,1,0.018999911844730377,0.0,0
chal-911,( 28.0 * 4.0 ),112,Multiplication,0.5,Local_Fn,112.0,1,0.018999911844730377,0.0,0
chal-122,( ( 19.0 + 237.0 ) - 231.0 ),25,Subtraction,1.0,Local_Fn,25.0,1,0.021700048819184303,0.0,0
chal-606,( 61.0 + 177.0 ),238,Addition,0.5,Local_Fn,238.0,1,0.019399914890527725,0.0,0
chal-62,( 6.0 / 3.0 ),2,Common-Division,0.5,Local_Fn,2.0,1,0.019300030544400215,0.0,0
