Problem_ID,Expression,Complexity_Score,Expected_Answer,Method_Used,Actual_Answer,Is_Correct,Latency_ms,Invocations,Token_Count,CPU_Cycles,RAM_Peak_MB,Env_Status,Decision_Logic_Time,Network_Bytes_Sent/Received
18,8 / 4 * 2 + 18* 12 - 14 / 2- 9 * 24 / 8 * 6,2.421052631578948,51.0,Local_Fn,51.0,1.0,0.02489995677024126,1.0,0.0,0.0,0.0,Library_Available,0.0,0.0
19,18- 6 * 17 + 4/ 6 + 4 * 15 - 1 + 5 * 4 * 11,2.421052631578948,195.66666666666669,Local_Fn,195.66666666666669,1.0,0.02459995448589325,1.0,0.0,0.0,0.0,Library_Available,0.0,0.0
20,2- 1 + 5 * 4 * 11 - 20 / 5 * 3* 15 / 5 + 12,2.421052631578948,197.0,Local_Fn,197.0,1.0,0.024699955247342587,1.0,0.0,0.0,0.0,Library_Available,0.0,0.0
21,(11 + 42 - 5) / (11 - 4),1.236842105263158,6.857142857142857,Local_Fn,6.857142857142857,1.0,0.024600070901215076,1.0,0.0,0.0,0.0,Library_Available,0.0,0.0
22,(17 - 3) * (14 - 6) - 22,1.236842105263158,90.0,Local_Fn,90.0,1.0,0.026399968191981316,1.0,0.0,0.0,0.00390625,Library_Available,0.0,0.0
23,((9 + 33 - 6) / 6) - 3^2,1.9473684210526316,-3.0,Local_Fn,-3.0,1.0,0.025000073947012424,1.0,0.0,0.0,0.0,Library_Available,0.0,0.0
24,((10 + 43 - 5) / 6) + 5^2,1.9473684210526316,33.0,Local_Fn,33.0,1.0,0.024000066332519054,1.0,0.0,0.0,0.0,Library_Available,0.0,0.0
25,2 * (9 * 5 + 3^2) + 4,1.7105263157894737,112.0,Local_Fn,112.0,1.0,0.022000051103532314,1.0,0.0,0.0,0.0,Library_Available,0.0,0.0
26,(6 + 3)^2 + (9 - (10 / 5)),1.9473684210526316,88.0,Local_Fn,88.0,1.0,0.02610008232295513,1.0,0.0,0.0,0.0,Library_Available,0.0,0.0
27,(10 + 59 - 3^2) / (24 - 4),1.7105263157894737,3.0,Local_Fn,3.0,1.0,0.02459995448589325,1.0,0.0,0.0,0.0,Library_Available,0.0,0.0
28,4 * (12 * 6 - 4^2) + 9,1.7105263157894737,233.0,Local_Fn,233.0,1.0,0.023700064048171043,1.0,0.0,0.0,0.0,Library_Available,0.0,0.0
29,(19 - 8) * (10 + 4) + 8^2,1.7105263157894737,218.0,Local_Fn,218.0,1.0,0.02410006709396839,1.0,0.0,0.0,0.0,Library_Available,0.0,0.0
30,3 * (2 + (5 - 1)),1.236842105263158,18.0,Local_Fn,18.0,1.0,0.021799933165311813,1.0,0.0,0.0,0.0,Library_Available,0.0,0.0
31,18 + 6 / (3 * (2^2)) - 4 + (11 + 42 - 5) / (11 - 4),3.131578947368421,21.357142857142858,Local_Fn,21.357142857142858,1.0,0.03330002073198557,1.0,0.0,0.0,0.00390625,Library_Available,0.0,0.0
32,(5^3 - 17) / (4 + 3) * 2 - (17 - 3) * (14 - 6) - 22,2.894736842105263,-103.14285714285714,Local_Fn,-103.14285714285714,1.0,0.03870006185024977,1.0,0.0,0.0,0.00390625,Library_Available,0.0,0.0
33,24 / (2^2) + 3 * (5 - 1)^2 *((9 + 33 - 6) / 6) - 3^2,4.078947368421053,285.0,Local_Fn,285.0,1.0,0.032400013878941536,1.0,0.0,0.0,0.0,Library_Available,0.0,0.0
34,6 + (4^2 - 8) * (3 + 2^3) / ((10 + 43 - 5) / 6) + 5^2,4.078947368421053,42.0,Local_Fn,42.0,1.0,0.031400006264448166,1.0,0.0,0.0,0.0,Library_Available,0.0,0.0
35,(36 / 3)^2 - 4 * (5 + 1) / 2 * (9 * 5 + 3^2) + 4,3.3684210526315788,-500.0,Local_Fn,-500.0,1.0,0.03060000017285347,1.0,0.0,0.0,0.0,Library_Available,0.0,0.0
36,7 + 2^4 * (9 - 6) / 3 * (6 + 3)^2 + (9 - (10 / 5)),3.6052631578947367,1310.0,Local_Fn,1310.0,1.0,0.02989999484270811,1.0,0.0,0.0,0.0,Library_Available,0.0,0.0
37,(8 + 4^2) * (6 - (2 + 1))^2 +2 * (9 * 5 + 3^2) + 4,4.078947368421053,328.0,Local_Fn,328.0,1.0,0.03300001844763756,1.0,0.0,0.0,0.00390625,Library_Available,0.0,0.0
38,50 - (4^3 / (2^2)) * 5 - (11 + 42 - 5) / (11 - 4),3.3684210526315788,-36.85714285714285,Local_Fn,-36.857142857142854,1.0,0.03029999788850546,1.0,0.0,0.0,0.0,Library_Available,0.0,0.0
39,(3 + 5)^2 / 4 + 6 * (7 - 3) * (17 - 3) * (14 - 6) - 22,3.131578947368421,2682.0,Local_Fn,2682.0,1.0,0.03060000017285347,1.0,0.0,0.0,0.0,Library_Available,0.0,0.0
40,10 + 18 + 6 / (3 * (2^2)) - 4 + (11 + 42 - 5) / (11 - 4)+ 6^2 / 3 - (4 - 2)+ 2- 1 + 5 * 4 * 11 - 20 / 5 * 3* 15 / 5 + 12^3,7.868421052631579,1954.357142857143,Local_Fn,1954.357142857143,1.0,0.05170004442334175,1.0,0.0,0.0,0.00390625,Library_Available,0.0,0.0
41,(12 - 4 * (2 + 1))^2 + 8 / 2+2 - 20 / 5 * 3 * (8 + 4^2) * (6 - (2 + 1))^2 +(36 / 3)^2 - 4 * (5 + 1) -3 * 19 * 14 + 18 / 2,8.105263157894736,-3255.0,Local_Fn,-3255.0,1.0,0.04600000102072954,1.0,0.0,0.0,0.0,Library_Available,0.0,0.0
42,"9 * (5 + 3) - 2^3 / (1 + 1) - (5^3 - 17) / (4 + 3) * 2 +(19 - 8) * (10 + 4) + 8^2 * (17 - 3) * (14 - 6) - 22 + 16 * 15 / 5 + 12
",7.394736842105263,7397.142857142857,Local_Fn,7397.142857142857,1.0,0.053299940191209316,1.0,0.0,0.0,0.00390625,Library_Available,0.0,0.0
43,(2^5 - 4^2) / 4 + 7 * 3 + 4 * (12 * 6 -18 + 6 / (3 * (2^2)) - 4+  4^2) + 9 -(19 - 8) * (10 + 4) + 8^2 + 3 * (2 + (5 - 1)),8.578947368421051,228.0,Local_Fn,228.0,1.0,0.07609999738633633,1.0,0.0,0.0,0.0,Library_Available,0.0,0.0
44,6 + (18+ (5^3 - 17) / (4 + 3) * 2 / 3)^2 - 5 * 4 + 50 - (4^3 / (2^2)) * 5 - (11 + 42 - 5) / (11 - 4) - (5^3 - 17) / (4 + 3) * 2 - (17 - 3) * (14 - 6) - 22,9.526315789473683,584.3673469387754,Local_Fn,584.3673469387754,1.0,0.056600081734359264,1.0,0.0,0.0,0.0,Library_Available,0.0,0.0
45,(5 + 3 * (4^2 - 6))* 24 / (2^2) + 3 * (5 - 1)^2 / 2+ 3 * (2 + (5 - 1)) + (17 - 3) * (14 - 6) - 22 * (5^3 - 17) / (4 + 3) * 2 - (17 - 3) * (14 - 6) - 22,9.052631578947368,-448.8571428571429,Local_Fn,-448.8571428571429,1.0,0.05619996227324009,1.0,0.0,0.0,0.0,Library_Available,0.0,0.0
46,4^2 + 12 + 2^4 + 6 + (4^2 - 8) * (3 + 2^3) / ((10 + 43 - 5) / 6) + 5^2* (9 - 6)/ (3 + 1) * 5 - 18 + 6 / (3 * (2^2)) - 4 + (11 + 42 - 5) / (11 - 4)* 6,10.0,174.39285714285714,Local_Fn,174.39285714285714,1.0,0.054999953135848045,1.0,0.0,0.0,0.0,Library_Available,0.0,0.0
47,cos(55)+sin(30/tan(180)+(7 - 2)^3 + 16 / (2^2)+ sin(tan(cos(90)))),6.447368421052632,0.1726856735832135,Local_Fn,0.17268567358321354,1.0,0.05880009848624468,1.0,0.0,0.0,0.00390625,Library_Available,0.0,0.0
48,tan(cos(sin(cos(55)+sin(30/tan(180)+(7 - 2)^3 + 16 / (2^2)+ sin(tan(cos(90))))))),8.578947368421051,1.508090154395907,Local_Fn,1.5080901543959073,1.0,0.056999968364834785,1.0,0.0,0.0,0.0,Library_Available,0.0,0.0
49,cos(55)+sin(30/tan(180)+(7 - 2)^3 + 16 / (2^2)+ sin(tan(cos(90+ (4 + 3) * 2 +(19 - 8))))),7.868421052631579,0.3004595718797558,Local_Fn,0.30045957187975586,1.0,0.05589995998889208,1.0,0.0,0.0,0.0,Library_Available,0.0,0.0
50,cos(55)+sin(30/tan(180 +(8 + 4^2) * (6 - (2 + 1))^2 +2 * (9 * 5 + 3^2) + 4 )),6.684210526315789,0.0327131172683973,Local_Fn,0.03271311726839739,1.0,0.04509999416768551,1.0,0.0,0.0,0.0,Library_Available,0.0,0.0
